title,teamA,teamB,score,time
الدوري الإنجليزي,برايتون,تشيلسي,- - -,22:00
الدوري الإسباني,جيرونا,خيتافي,- - -,22:00
الدوري الفرنسي,بريست,اوكسير,- - -,21:45
الدوري الألماني,أوجسبورج,لايبزيج,- - -,21:30
الدوري المصري الممتاز - سيدات,انبي,بالم هيلز,- - -,14:30
الدوري المصري الممتاز - سيدات,اتحاد بسيون,الطيران,- - -,14:30
الدوري المصري الممتاز - سيدات,المصري,الجونة,- - -,14:30
الدوري الإيطالي,بولونيا,تورينو,- - -,21:45
الدوري السعودي,العروبة,الخلود,- - -,16:10
الدوري السعودي,الاتفـــــاق,الفتح,- - -,17:05
الدوري السعودي,الهلال,الرياض,- - -,19:00
الدوري التركي,أضنة دمير سبور,انطاليا سبور,- - -,19:00
الدوري البرتغالي,بوافيستا,إستريلا,- - -,22:15
الدوري المغربي,حسنية اغادير,المغرب التطواني,- - -,19:00
الدوري المغربي,النادي المكناسي,الاتحاد التوركي,- - -,21:00
الدوري الإماراتي,عجمان,بني ياس,- - -,15:25
الدوري الإماراتي,البطائح,دبا الحصن,- - -,15:25
الدوري الإماراتي,النصر الإماراتي,الوصل,- - -,18:00
